date,年末残高,年間純増
2003,209217.0,
2005,1959860.0,1750643.0
2007,3808294.0,1848434.0
2008,4712749.0,904455.0
2009,5747869.0,1035120.0
2010,7402112.0,1654243.0
2011,8969607.0,1567495.0
2012,10431597.0,1461990.0
2013,11086701.0,655104.0
2014,11885453.0,798752.0
2015,13192157.0,1306704.0
2016,14781407.0,1589250.0
2017,15680838.0,899431.0
2018,17321541.0,1640703.0
2019,19763512.0,2441971.0
2020,23151636.0,3388124.0
2021,26184166.0,3032530.0
2022,28958396.0,2774230.0
2023,30278331.0,1319935.0
2024,32131553.0,1853222.0
2025,36023645.0,3892092.0
2026,37454765.0,1431120.0
